group_id,atoms_size,atoms_0,atoms_1,atoms_2,atoms_3,atoms_4,atoms_5,atoms_6,atoms_7,cell_0_0,cell_0_1,cell_0_2,cell_1_0,cell_1_1,cell_2_1,cell_2_2,fermi_lens_size,fermi_line_size,fermi_line_mean,fermi_line_std,fermi_line_min,fermi_line_max,position_size,position_0_0,position_0_1,position_0_2,position_1_0,position_1_1,position_1_2,position_2_0,position_2_1,position_2_2,position_3_0,position_3_1,position_3_2,position_4_0,position_4_1,position_4_2,position_5_0,position_5_1,position_5_2,position_6_0,position_6_1,position_6_2,position_7_0,position_7_1,position_7_2,recip_latt_size,recip_latt_0_0,recip_latt_0_1,recip_latt_0_2,recip_latt_1_0,recip_latt_1_1,recip_latt_1_2,recip_latt_2_0,recip_latt_2_1,recip_latt_2_2,sc_DOSs_size,sc_DOSs_mean,sc_DOSs_std,sc_DOSs_min,sc_DOSs_max,sc_bands_mean,sc_bands_std,sc_bands_min,sc_bands_max,fermi_lens_0,fermi_lens_1,fermi_lens_2,fermi_lens_3,atoms_8,atoms_9,position_8_0,position_8_1,position_8_2,position_9_0,position_9_1,position_9_2,fermi_lens_4,fermi_lens_5,fermi_lens_6,fermi_lens_7,fermi_lens_8,atoms_10,atoms_11,position_10_0,position_10_1,position_10_2,position_11_0,position_11_1,position_11_2,position_12_0,position_12_1,position_12_2,position_13_0,position_13_1,position_13_2,position_14_0,position_14_1,position_14_2,fermi_lens_9,fermi_lens_mean,fermi_lens_std,fermi_lens_min,fermi_lens_max,position_15_0,position_15_1,position_15_2,fermi_line_0_0,fermi_line_0_1,fermi_line_0_2,fermi_line_1_0,fermi_line_1_1,fermi_line_1_2,fermi_line_2_0,fermi_line_2_1,fermi_line_2_2,fermi_line_3_0,fermi_line_3_1,fermi_line_3_2,fermi_line_4_0,fermi_line_4_1,fermi_line_4_2,fermi_line_5_0,fermi_line_5_1,fermi_line_5_2,fermi_lens_shape_1,fermi_line_shape_1,id,Tc,is_superconductor
12357,14,La,La,La,La,La,La,La,La,-4.949256,4.949256,4.949256,4.949256,-4.949256,4.949256,-4.949256,68.0,202920.0,-9.21001213293051e-05,0.2515751239002365,-0.6068881748929917,0.6068881473117684,42,1.748087117712,-1.748087117712,3.201168882288,1.748087117712,1.748087117712,1.748087117712,-0.726540882288,0.726540882288,5.675796882288,0.726540882288,5.675796882288,-0.726540882288,-1.748087117712,3.201168882288,1.748087117712,5.675796882288,-0.726540882288,0.726540882288,4.222715117712,4.222715117712,4.222715117712,3.201168882288,1.748087117712,-1.748087117712,9.0,-1.858565582789314e-18,0.6347605889834337,0.6347605889834337,0.6347605889834337,0.0,0.6347605889834337,0.6347605889834337,0.6347605889834337,0.0,10005,-2.5450132705067467,9.378818731669112,-34.91208142,150.94415000000006,0.2082129930164717,0.3391716108484504,-0.6219930896785916,1.0150424737378654,,,,,Bi,Bi,3.711942,4.949256,-2.474628,4.949256,-2.474628,3.711942,,,,,,Bi,Bi,1.237314,4.949256,2.474628,-2.474628,3.711942000000001,4.949256000000001,2.474628,1.2373139999999998,4.949256,4.949256,2.474628,1.237314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,67640.0,12357,0.16,1
12359,16,Bi,Bi,Bi,Bi,Bi,Bi,Bi,Bi,4.915258,0.0,0.0,0.0,7.37247,1.967805,12.154912,9.0,16674.0,0.0011795646488311,0.3117150391902383,-0.6391511195525839,0.6391511195525839,48,1.2288145,2.107205704905,5.805660012768,3.6864435,7.233069295095,6.349251987231999,3.6864435,2.5380353175450003,8.29457272336,1.2288145,6.802239682454999,3.86033927664,1.2288145,3.172783213425,10.481581729696,3.6864435,6.167491786575,1.673330270304,3.6864435,2.006956197225,0.5654586611519999,1.2288145,7.333318802775,11.589453338848,9.0,1.2783022391051673,0.0,0.0,0.0,0.8522496947670979,-0.137973949182945,0.0,0.0,0.5169256105827493,8004,-2.494910864751374,12.21268649739332,-37.11742147,537.2304,-0.0572293357581354,0.8292716582154172,-1.4741343948350072,1.4944524638012049,159.0,159.0,1816.0,1020.0,Bi,Bi,1.2288145,2.93589154803,2.524113335744,3.6864435,6.40438345197,9.630798664256,1058.0,335.0,341.0,335.0,335.0,Bi,Bi,3.6864435,3.883544191065,4.549109520032,1.2288145,5.456730808935,7.605802479968,1.2288145,0.40403657427,1.203749555008,3.6864435,8.936236457925,10.95115029008,3.6864435,1.218424903815,3.554716169312,,,,,,1.2288145,8.121850096185,8.600195830688,,,,,,,,,,,,,,,,,,,9.0,5558.0,12359,3.7,1
12360,16,Ni,Ni,Ni,Ni,Bi,Bi,Bi,Bi,4.158823,0.0,0.0,0.0,8.90949,0.0,11.546925,22.0,49602.0,0.0003841873640993,0.3023781732197358,-0.7554042702922903,0.7554042702922904,48,1.03970575,5.24850928308,11.32778745735,3.11911725,3.66098071692,0.21913754265,1.03970575,0.79376428308,5.99260004265,3.11911725,8.11572571692,5.55432495735,3.11911725,6.2518782279,1.263695472,1.03970575,2.6576117721,10.283229528,3.11911725,1.7971332279,4.509767028,1.03970575,7.1123567721,7.037157972,9.0,1.5108085405845804,0.0,0.0,0.0,0.7052239025106471,0.0,0.0,0.0,0.5441435972936159,1204,-6.611699151154485,16.467639254004247,-67.25748099,14.264019010000002,-0.1781025557340538,1.0540954301805094,-1.816619561135276,2.0071949531019646,,,,,Bi,Bi,3.11911725,5.52140696178,4.708316403375,1.03970575,3.38808303822,6.838608596625,,,,,,Bi,Bi,3.11911725,1.06666196178,1.065146096625,1.03970575,7.842828038219999,10.481778903375,1.03970575,8.11245593409,3.72653910525,3.11911725,0.7970340659099999,7.82038589475,1.03970575,3.65771093409,2.0469233947500003,,,,,,3.11911725,5.251779065909999,9.50000160525,,,,,,,,,,,,,,,,,,,22.0,16534.0,12360,4.1,1
12362,4,Sn,Bi,Bi,Bi,,,,,0.0,3.952493,3.952493,3.952493,0.0,3.952493,0.0,23.0,124518.0,5.045902317681831e-05,0.3625883860181736,-0.772523211972076,0.7725233841957614,12,0.0,0.0,0.0,1.9762465,1.9762465,1.9762465,5.9287395,5.9287395,5.9287395,3.952493,3.952493,3.952493,,,,,,,,,,,,,9.0,-0.7948382586863008,0.7948382586863008,0.7948382586863008,0.7948382586863008,-0.7948382586863008,0.7948382586863008,0.7948382586863008,0.7948382586863008,-0.7948382586863008,8004,0.248164033115942,19.123452790958872,-23.64359894,1605.8626,1.8901696984966363,4.48906192651466,-7.61811596628268,10.92265550004295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,41506.0,12362,3.77,1
12363,4,Sr,Bi,Bi,Bi,,,,,5.076826,0.0,0.0,0.0,5.076826,0.0,5.076826,37.0,45612.0,-0.0004021280318336,0.3976798402576628,-0.6188103853844495,0.6188103853844497,12,0.0,0.0,0.0,2.538413,2.538413,0.0,2.538413,0.0,2.538413,0.0,2.538413,2.538413,,,,,,,,,,,,,9.0,1.237620770768899,0.0,0.0,0.0,1.237620770768899,0.0,0.0,0.0,1.237620770768899,8004,-3.587588103025987,9.525158764131604,-37.69803662,141.4114,-3.2377489211698327,6.990386172226272,-17.77778171734944,5.900183168587857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,15204.0,12363,5.9,1
12364,4,Zn,Bi,Bi,Bi,,,,,-2.522668,2.522668,4.562909,2.522668,-2.522668,2.522668,-4.562909,27.0,51402.0,-0.0017307729584178,0.4173056660776547,-0.8129978620440913,0.8129978620440913,12,0.0,0.0,0.0,-2.220446049250313e-16,2.5226680000000004,2.2814545,2.522668,0.0,2.2814545,0.0,0.0,4.562909,,,,,,,,,,,,,9.0,-3.298785999971908e-17,1.2453452668324936,0.6885065324751803,1.2453452668324936,0.0,0.6885065324751803,1.2453452668324936,1.2453452668324936,0.0,8004,1.3736457577548724,5.96145269617696,-14.94639493,85.22579999999999,-0.7289241414996653,4.56651590518238,-7.027673750189306,8.642105502845162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,17134.0,12364,0.87,1
12366,15,Sr,Sr,Tm,Cu,Cu,Bi,Bi,O,-1.881367,1.881367,15.185061,1.881367,-1.881367,1.881367,-15.185061,16.0,129894.0,-0.0005763832663148,0.4371396108427305,-0.8349228655519614,0.8477390962804119,45,1.3782823877761531e-18,-1.3782823877761531e-18,3.502009137942,-5.0303979215016165e-17,5.0303979215016165e-17,26.868112862058,0.0,0.0,0.0,2.303047300244998e-17,-2.303047300244998e-17,13.589080718777998,-2.303047300244998e-17,2.303047300244998e-17,16.781041281222,1.3649381347846656e-17,-1.3649381347846656e-17,8.948981629008,1.039583755186868e-16,-1.039583755186868e-16,21.421140370992,0.0,1.881367,1.437083802917999,9.0,1.5290456644179555e-16,1.6698457311039223,0.2068870618030308,1.6698457311039223,0.0,0.2068870618030308,1.6698457311039223,1.6698457311039223,0.0,8004,-6.787744097267617,18.38814674933792,-74.27729452999999,73.96459999999999,-0.737837749446737,1.9134382298877848,-3.157355829200222,3.2231110694952503,,,,,O,O,1.881367,0.0,13.747977197082,1.881367,0.0,1.437083802917999,,,,,,O,O,0.0,1.881367,13.747977197082,1.4324549677979806e-17,-1.4324549677979806e-17,6.170267316617999,-6.325024650521982e-17,6.325024650521982e-17,24.199854683382,2.70772362185312e-17,-2.70772362185312e-17,11.089893009276,-2.70772362185312e-17,2.70772362185312e-17,19.280228990724,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,43298.0,12366,,0
12368,60,,,,,,,,,-7.596311,7.596311,7.596311,7.596311,-7.596311,7.596311,-7.596311,49.0,37509.0,0.0002043034704456,0.1671142118501462,-0.3797936597495546,0.3797936599988459,180,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.4355115931742598e-17,0.4135681982464637,0.4135681982464637,0.4135681982464637,0.0,0.4135681982464637,0.4135681982464637,0.4135681982464637,0.0,1204,-4.66738220614618,12.510194524531872,-48.638716200000005,122.178,0.0425670688206018,0.4078062762287677,-0.7206085136236564,0.7713714712955186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,12503.0,12368,3.15,1
12369,7,Bi,Bi,Bi,Bi,Te,Te,Te,,14.297413,-2.255002,0.0,14.297413,2.255002,0.0,3.88955,12.0,216.0,,,,,21,12.170948526562002,-1.4669980778592158e-17,1.11291305195,30.365629473438,-8.219686709765028e-17,2.77663694805,6.26117159871,-1.1514937323653386e-17,0.5725223122499999,36.275406401290006,-9.242963784572566e-17,3.31702768775,0.0,0.0,0.0,24.651648414120004,9.0274742419183e-17,2.254149807,17.884929585880002,3.490301462960588e-17,1.635400193,,,,9.0,0.2197315453914489,-1.3931662382515817,-0.7876085183181407,0.2197315453914489,1.3931662382515817,-0.7876085183181407,0.0,0.0,1.6154016035735717,8004,0.2501753119140428,4.086143202931126,-14.49232344,12.74877656,-0.2916087277672459,2.302320118558971,-4.121418337365936,4.2998072571874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,72.0,12369,8.4,1
12370,14,Th,Th,Th,Th,Th,Th,Bi,Bi,-4.836859,4.836859,4.836859,4.836859,-4.836859,4.836859,-4.836859,6.0,5976.0,4.836581507188409e-07,0.1613443612218754,-0.3219421480362537,0.3219430539503526,42,-2.220446049250313e-16,2.4184295,3.62764425,3.62764425,1.1102230246251563e-16,2.4184295,1.20921475,-2.220446049250313e-16,7.2552885,7.2552885,1.2092147499999997,3.3306690738754696e-16,2.4184295,3.62764425,1.1102230246251563e-16,-2.220446049250313e-16,7.2552885,1.20921475,0.770676091906,0.770676091906,0.770676091906,1.647753408094,6.484612408094,-1.647753408094,9.0,2.817992051648649e-16,0.6495109023417458,0.6495109023417458,0.6495109023417458,5.963390361595141e-17,0.6495109023417458,0.6495109023417458,0.6495109023417458,5.963390361595141e-17,10005,-2.5444955789655177,12.837225801764369,-42.19706755,448.2919999999999,0.1905795585805928,0.9272678861213244,-1.3571252744219882,1.4004998557634272,332.0,332.0,332.0,332.0,Bi,Bi,-1.6477534080939995,1.6477534080939995,6.484612408094,6.484612408094,-1.6477534080939995,1.6477534080939995,332.0,332.0,,,,Bi,Bi,0.7706760919059998,-0.7706760919059998,4.066182908094,4.066182908094,0.7706760919059998,-0.7706760919059998,-0.7706760919059998,4.066182908094,0.7706760919059998,3.189105591906,3.1891055919059994,3.1891055919059994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1992.0,12370,,0
12371,3,Tl,Bi,Bi,,,,,,2.856932,-4.948352,0.0,2.856932,4.948352,0.0,3.447658,32.0,123261.0,0.0007319537266182,0.4143577363724301,-0.911225142862138,0.911225142862138,9,0.0,0.0,0.0,2.856932,-1.649453965568,1.723829,2.856932,1.649453965568,1.723829,,,,,,,,,,,,,,,,9.0,1.0996385820837853,-0.6348765515447957,0.0,1.0996385820837853,0.6348765515447957,0.0,0.0,0.0,1.822450285724276,8004,4.363872301076962,11.292661271932074,-15.58824218,78.83860000000004,1.8481071159386304,6.4557705857812016,-11.536960046439836,12.589706479948177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,41087.0,12371,6.4,1
12374,12,Y,Y,Y,Y,C,C,C,C,1.9567,3.625521,0.0,-1.9567,3.625521,1.473609,20.894,20.0,12204.0,-0.0001062445783431,0.4358527343458798,-1.037709000778651,1.0377730721960483,36,-1.0953415525705168e-16,6.299947542576,1.3933372839999998,5.963638471939703e-17,7.037435446278,11.801808747999996,-1.7997341927866728e-17,1.699736961927,9.005710985999999,1.221203334011989e-17,2.423837968218,19.50998144,7.412856888322493e-17,4.207262713187999,0.3231048159999999,-8.68180073609892e-17,4.945545072429,10.72875559,2.9796851919172696e-17,3.78942671253,10.074292828,-3.149108884770158e-17,4.517744198172,20.575324712,9.0,1.6055566277864732,0.8665217091804994,-0.0611139173611451,-1.6055566277864737,0.8665217091804994,-0.0611139173611451,0.0,0.0,0.3007172062400491,8004,-3.790110803228386,11.56309798396788,-45.521889040000005,90.30239999999998,0.2208578846534177,2.5101099948289174,-3.691897392133943,3.931371475216714,,,,,I,I,1.0716606126948136e-16,7.219146824439,17.408818118,2.520402375694174e-18,1.505371512753,3.501395626,,,,,,I,Br,2.7538558100559376e-18,2.242930149687,13.910870002,9.734810859640675e-17,6.459512173152,7.130578956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,4068.0,12374,11.6,1
12378,6,Ti,Ti,Br,Br,N,N,,,3.377704,0.0,0.0,0.0,3.961391,0.0,8.932372,,,,,,,18,0.0,1.9806955,8.185402391500002,1.688852,0.0,0.7469696085000002,1.688852,1.9806955,6.183854338484001,0.0,0.0,2.7485176615160003,0.0,0.0,8.583080525312,1.688852,1.9806955,0.349291474688,,,,,,,,,,,,,,,,,8004,-2.6636439009595203,8.90044721450342,-35.84222328,71.24000000000001,-0.1195917258253002,2.687144899897236,-4.118721592354174,5.062602198350171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12378,,0
12380,6,La,La,C,C,Br,Br,,,2.059233,3.743695,0.0,-2.059233,3.743695,0.740255,10.169777,8.0,10596.0,0.0006820611069627,0.4169961720050446,-0.868840811187096,0.868840811187096,18,5.178257117677276e-17,6.51653312752,1.529310725706,5.372626064925611e-18,1.71111187248,8.640466274293999,-8.498275626322994e-17,4.31549013402,0.328931267288,-2.2751454178404627e-17,3.91215486598,9.840845732712,8.229057685582575e-17,6.66349500935,6.715876656151999,-2.677942562456792e-17,1.5641499906500005,3.453900343848,,,,,,,9.0,1.5256130091105733,0.8391689637082597,-0.061082855723371,-1.5256130091105733,0.8391689637082597,-0.061082855723371,0.0,0.0,0.6178292117103046,10005,-2.2157818267136435,8.163113069884721,-34.67063627,117.853,1.5229683085486014,1.305731448366122,-3.008903630373962,3.275015470111579,420.0,422.0,378.0,378.0,,,,,,,,,424.0,430.0,544.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3532.0,12380,7.03,1
