group_id,atoms_size,atoms_0,atoms_1,atoms_2,atoms_3,atoms_4,atoms_5,atoms_6,atoms_7,cell_0_0,cell_0_1,cell_0_2,cell_1_0,cell_1_1,cell_2_1,cell_2_2,fermi_lens_size,fermi_line_size,fermi_line_mean,fermi_line_std,fermi_line_min,fermi_line_max,position_size,position_0_0,position_0_1,position_0_2,position_1_0,position_1_1,position_1_2,position_2_0,position_2_1,position_2_2,position_3_0,position_3_1,position_3_2,position_4_0,position_4_1,position_4_2,position_5_0,position_5_1,position_5_2,position_6_0,position_6_1,position_6_2,position_7_0,position_7_1,position_7_2,recip_latt_size,recip_latt_0_0,recip_latt_0_1,recip_latt_0_2,recip_latt_1_0,recip_latt_1_1,recip_latt_1_2,recip_latt_2_0,recip_latt_2_1,recip_latt_2_2,sc_DOSs_size,sc_DOSs_mean,sc_DOSs_std,sc_DOSs_min,sc_DOSs_max,sc_bands_mean,sc_bands_std,sc_bands_min,sc_bands_max,fermi_lens_0,fermi_lens_1,fermi_lens_2,fermi_lens_3,atoms_8,atoms_9,position_8_0,position_8_1,position_8_2,position_9_0,position_9_1,position_9_2,fermi_lens_4,fermi_lens_5,fermi_lens_6,fermi_lens_7,fermi_lens_8,atoms_10,atoms_11,position_10_0,position_10_1,position_10_2,position_11_0,position_11_1,position_11_2,position_12_0,position_12_1,position_12_2,position_13_0,position_13_1,position_13_2,position_14_0,position_14_1,position_14_2,fermi_lens_9,fermi_lens_mean,fermi_lens_std,fermi_lens_min,fermi_lens_max,position_15_0,position_15_1,position_15_2,fermi_line_0_0,fermi_line_0_1,fermi_line_0_2,fermi_line_1_0,fermi_line_1_1,fermi_line_1_2,fermi_line_2_0,fermi_line_2_1,fermi_line_2_2,fermi_line_3_0,fermi_line_3_1,fermi_line_3_2,fermi_line_4_0,fermi_line_4_1,fermi_line_4_2,fermi_line_5_0,fermi_line_5_1,fermi_line_5_2,fermi_lens_shape_1,fermi_line_shape_1,id,Tc
15263,4,Y,Pb,Pb,Pb,,,,,4.906019,0.0,0.0,0.0,4.906019,0.0,4.906019,8.0,42804.0,6.691308238764402e-08,0.37072525196518724,-0.640354766989242,0.6403547669892418,12,0.0,0.0,0.0,2.4530095,2.4530095,0.0,2.4530095,0.0,2.4530095,0.0,2.4530095,2.4530095,,,,,,,,,,,,,9.0,1.2807095339784837,0.0,0.0,0.0,1.2807095339784837,0.0,0.0,0.0,1.2807095339784837,8004,-4.007227325217392,13.518368785966896,-46.18593104,616.7082999999999,1.7257615924273964,3.8696688278479168,-8.481597446376446,9.072098680387347,414.0,13368.0,81.0,81.0,,,,,,,,,81.0,81.0,81.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14268,15263,4.72
15264,4,Yb,Pb,Pb,Pb,,,,,4.916959,0.0,0.0,0.0,4.916959,0.0,4.916959,63.0,18396.0,6.913314981717967e-08,0.3332699471639063,-0.6389300080781217,0.6389300080781215,12,0.0,0.0,0.0,2.4584795,2.4584795,0.0,2.4584795,0.0,2.4584795,0.0,2.4584795,2.4584795,,,,,,,,,,,,,9.0,1.2778600161562432,0.0,0.0,0.0,1.2778600161562432,0.0,0.0,0.0,1.2778600161562432,8004,-1.2044246783408297,8.135906975395878,-24.63624544,281.3286,2.306383164359799,4.1416730160665045,-8.572540764222287,9.48246753752291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,6132,15264,0.23
15265,16,Zr,Zr,Zr,Zr,Zr,Zr,Zr,Zr,4.496087,-7.787452,0.0,4.496087,7.787452,0.0,6.213825,7.0,38400.0,-0.0006263608240882116,0.2699537561747613,-0.5055811281440648,0.5055811281440648,48,6.765603811511999,2.6789347040789835e-16,1.55345625,1.113285094244,1.928266564624,1.55345625,3.3828019057559997,-5.859185435375999,4.66036875,4.496087,2.595822524968,3.1069125,1.113285094244,-1.928266564624,1.55345625,4.496087,-2.595822524968,3.1069125,3.3828019057559997,5.859185435375999,4.66036875,4.496087,2.595822524968,0.0,9.0,0.6987392934322207,-0.4034172735305197,0.0,0.6987392934322207,0.4034172735305197,0.0,0.0,0.0,1.0111622562881295,8004,-3.939183795096202,29.651055977739016,-52.550395949999995,1584.280499999999,-0.06822742075417773,0.6806065942405997,-1.3437519714794592,1.5163291053632235,1323.0,1323.0,1507.0,1507.0,Zr,Zr,2.226570188488,-3.405008131096565e-17,4.66036875,4.496087,-2.595822524968,0.0,5896.0,622.0,622.0,,,Pb,Pb,5.488436346118,-1.078167556443077e-16,4.66036875,1.751868826941,-3.034326159636,4.66036875,2.744218173059,-4.753125840364,1.55345625,1.751868826941,3.034326159636,4.66036875,3.503737653882,9.601797147240632e-17,1.55345625,,,,,,2.744218173059,4.753125840364,1.55345625,,,,,,,,,,,,,,,,,,,7,12800,15265,4.6
15277,5,Ti,Ti,Ti,Ti,Pd,,,,-1.494605,1.494605,9.408859,1.494605,-1.494605,1.494605,-9.408859,30.0,161844.0,-0.00031906495688906064,0.5603752182650973,-1.0774974980242642,1.0774974980242638,15,4.472861320437005e-17,-4.472861320437005e-17,7.612293827104,1.1019385922850233e-16,-1.1019385922850233e-16,15.144649988143998,1.4855972372274095e-17,-1.4855972372274095e-17,3.673068011856,-4.472861320437005e-17,4.472861320437005e-17,11.205424172896,0.0,0.0,0.0,,,,,,,,,,9.0,-1.50174217150843e-16,2.101955134359776,0.33389730397594364,2.101955134359776,1.9842057251747852e-16,0.33389730397594364,2.101955134359776,2.101955134359776,2.4802571564684815e-17,8004,-1.8906889104022988,9.103170423882332,-35.72691886,96.39479999999999,0.4465601281954612,1.5814167279530462,-3.49555425615631,3.529070261392369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,53948,15277,4.71
15282,2,Pd,W,,,,,,,4.700279,-1.395995,0.0,4.700279,1.395995,0.0,2.382121,12.0,320994.0,-2.0394865424109835e-05,0.6641800842790717,-1.5047665130260348,1.5047665130260348,6,0.0,0.0,0.0,6.8431115,0.0,1.1910605,,,,,,,,,,,,,,,,,,,9.0,0.6683842924196186,-2.250432597244111,-1.2024876857945188,0.6683842924196187,2.250432597244111,-1.2024876857945188,0.0,0.0,2.63764322096971,8004,1.923660782881059,14.824269760065619,-43.21175382,57.279146180000005,4.05782740136989,8.106413326110006,-8.588479139934076,21.294290602867857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,106998,15282,1.58
15283,2,Pd,Rh,,,,,,,4.565229,-1.379215,0.0,4.565229,1.379215,0.0,2.35225,35.0,407982.0,-9.544267292507444e-06,0.6354780829597776,-1.4646912635728724,1.4646912635728722,6,0.0,0.0,0.0,6.6395040000000005,0.0,1.176125,,,,,,,,,,,,,,,,,,,9.0,0.6881566409023059,-2.2778121276159213,-1.2136687140462372,0.6881566409023059,2.2778121276159213,-1.2136687140462368,0.0,0.0,2.6711384024570455,8004,1.2476390166016997,16.273104459576093,-51.51687112,78.8538,3.8101817928116284,8.339075545058916,-7.283987805245761,21.752874462000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,135994,15283,
15284,4,Sb,Sb,Pd,Pd,,,,,-2.071896,-3.588629,0.0,-2.071896,3.588629,0.0,-5.681682,14.0,62064.0,0.0008509249183795836,0.45623394914915844,-0.9681441899104009,0.968143454915927,12,-2.071896,1.1962120590860001,-4.2612615,-2.071896,-1.1962120590860001,-1.4204205,0.0,0.0,0.0,0.0,0.0,-2.840841,,,,,,,,,,,,,9.0,-1.5162887778101761,-0.875429768189967,-0.0,-1.5162887778101761,0.875429768189967,-0.0,-0.0,0.0,-1.1058671194867271,8004,0.19355415681534222,3.6932829776131793,-12.87302885,11.878071149999998,-1.492255919260832,3.1678621953206396,-6.010329537438404,7.161681804582524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20688,15284,1.48
15290,4,Pd,Pd,Pd,Pd,,,,,1.398849,-2.422877,0.0,1.398849,2.422877,0.0,9.148043,31.0,79188.0,0.0003912208067708594,0.6264577875776017,-1.3665779574949188,1.3665776744634324,12,0.0,0.0,0.0,1.398849,0.8076272819180002,2.28701075,0.0,0.0,4.5740215,1.398849,-0.8076272819180002,6.861032249999999,,,,,,,,,,,,,9.0,2.2458411548278567,-1.2966372843482328,0.0,2.245841154827857,1.296637284348233,0.0,0.0,0.0,0.6868338186844538,8004,3.026821967616192,13.561536650598342,-7.070971200000001,891.9447999999999,-1.4030762724192092,1.643229993164575,-4.20298363832574,6.703437757041362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,26396,15290,
15293,64,,,,,,,,,10.778299,0.0,0.0,0.0,10.778299,0.0,10.778299,17.0,9201.0,0.00017940351983757285,0.1826201442815688,-0.29147392709301434,0.2914739055686995,192,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.5829477645015773,0.0,0.0,0.0,0.5829477645015773,0.0,0.0,0.0,0.5829477645015773,8004,4.1329811611744125,17.08129843022464,-15.89176596,602.0675999999996,-0.07205293172572579,0.29251238828229925,-0.7944004120501096,0.7839274978872393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3067,15293,2.2
15294,16,Pd,Pd,Pd,Pd,Pd,Pd,Pd,Pd,6.524357,0.0,0.0,0.0,6.524357,0.0,6.68766,4.0,516.0,,,,,48,3.4596903594610002,4.843897940581,0.0,1.680459059419,3.4596903594610002,3.34383,4.843897940581,3.064666640539,3.34383,3.064666640539,1.680459059419,0.0,0.0,0.0,5.015745,0.0,0.0,1.671915,3.2621785,0.0,3.34383,0.0,3.2621785,0.0,9.0,0.9630351783600417,0.0,0.0,0.0,0.9630351783600417,0.0,0.0,0.0,0.9395192499588176,8004,1.4420557693740632,5.8308436472373035,-15.735961929999998,60.8182,-0.49846173992842097,0.8573402852680997,-1.644794322454601,2.281462579400518,21.0,21.0,65.0,65.0,S,S,1.2621172885790002,2.005091490668,5.16483300438,4.5192655093319996,1.2621172885790002,1.82100300438,,,,,,S,S,2.005091490668,5.2622397114209996,1.82100300438,5.2622397114209996,4.5192655093319996,5.16483300438,5.2622397114209996,4.5192655093319996,1.52282699562,2.005091490668,5.2622397114209996,4.86665699562,4.5192655093319996,1.2621172885790002,4.86665699562,,,,,,1.2621172885790002,2.005091490668,1.52282699562,,,,,,,,,,,,,,,,,,,4,172,15294,
