Modelo,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Media
Random Forest,0.6101010101010101,0.6058201058201058,0.8388278388278388,0.7035330261136713,0.666072666072666,0.6848709293870585
SVM,0.5696969696969697,0.5625,0.989010989010989,0.7171314741035857,0.5985133485133485,0.6873705562649786
XGBoost,0.6181818181818182,0.5981308411214953,0.9377289377289377,0.7303851640513552,0.7115962115962116,0.7192045945359636
