,Acurácia,Precisão,Recall,F1-Score,ROC-AUC
Random Forest,0.6727272727272727,0.6697247706422018,0.8021978021978022,0.73,0.7377652377652377
XGBoost,0.6606060606060606,0.6744186046511628,0.7435897435897436,0.7073170731707317,0.726957726957727
LightGBM,0.6565656565656566,0.66996699669967,0.7435897435897436,0.7048611111111112,0.71999471999472
SVM (RBF),0.6444444444444445,0.6655290102389079,0.7142857142857143,0.6890459363957597,0.6669719169719169
MLP,0.6080808080808081,0.6100278551532033,0.8021978021978022,0.6930379746835443,0.64003564003564
LASSO (L1),0.5656565656565656,0.5843023255813954,0.7362637362637363,0.6515397082658023,0.5936210936210936
